"dow","id","acre","utm_x","utm_y","county","county_name","inspect","include_insp","infest","lake_name","accessible","ramp","ramp_per_acre","infest_zm","infest_ss","zm_suit","ss_suit","nLake50","nLake30","nLake20","nLake10","acre20","acre50","acre200","acre500","acre1000","acre2500","acreInf","countypop","d2HWYmeter","boatPerHour","nAccess","dataTraffic","annualTraffic1","annualTraffic2"
"1006200",15,9380,478522,5179164,"1","aitkin",1,1,1,"big sandy",1,4,0.000426439232409382,0,0,1,0,356,126,66,32,0,0,0,0,0,0,1,15583,13.86201136,20.75510204,4,NA,4384.915494024,6754.425
"31081300",16,8900,431622,5265612,"31","itasca",1,1,1,"bowstring",1,4,0.000449438202247191,0,0,1,0,737,329,123,7,0,0,0,0,0,0,1,45242,2134.402728,0.770315091,3,4936.179105264,4936.179105264,4936.179105264
"18030800",17,8468,409955,5158505,"18","crow wing",1,1,1,"pelican",1,5,0.000590458195559754,1,0,1,1,917,392,208,52,0,0,0,0,0,0,1,63940,6766.629047,1.217204301,3,7799.845160808,7799.845160808,7799.845160808
"37004600",18,8400,265621,4997767,"37","lac qui parle",1,1,1,"lac qui parle",1,13,0.00154761904761905,0,0,1,1,71,16,6,3,0,0,0,0,0,0,1,6715,0,0.160550459,9,3086.422017408,4514.582954664,4232.6885
"69037200",19,8280,561415,5207476,"69","saint louis",1,1,1,"island lake reservoir",1,4,0.000483091787439614,0,0,1,0,208,96,50,17,0,0,0,0,0,0,1,199980,14426.29072,1.307479224,4,11171.102494128,4214.977335456,4765.502
"18031000",20,7969,406398,5170853,"18","crow wing",1,1,1,"whitefish",1,1,0.000125486259254612,0,0,1,1,948,410,186,54,0,0,0,0,0,0,1,63940,5057.275441,0.913978495,1,1952.25806532,4355.007019104,4142.777
"16063300",21,7880,654142,5341246,"16","cook",1,0,1,"saganaga",1,1,0.000126903553299492,0,0,1,0,914,421,180,32,0,0,0,0,0,0,1,5286,57452.81652,NA,2,NA,4410.438468312,3236.3547
"56038300",22,7827,288873,5151037,"56","otter tail",1,0,0,"dead",1,4,0.00051105148843746,0,0,1,1,1055,492,252,47,0,0,0,0,0,0,1,58085,4506.59838,NA,4,NA,4216.590030408,2610.219
"61013000",23,7770,310731,5055102,"61","pope",1,1,1,"minnewaska",1,6,0.000772200772200772,1,0,1,1,499,232,99,28,0,0,0,0,0,0,1,11049,12.69305047,1.75,3,11214,5280.079029096,5879.684
"69000300",24,7628,585983,5288017,"69","saint louis",1,0,0,"birch",1,4,0.000524383848977452,0,0,1,0,600,219,71,14,0,0,0,0,0,0,1,199980,10.95883305,NA,4,NA,5838.50139948,4910.1685
"56074700",25,7277,272704,5162677,"56","otter tail",1,1,1,"lida",0,0,0,0,0,1,1,954,556,309,81,0,0,0,0,0,0,1,58085,0,1.646666667,2,7034.559999288,5276.920254624,6865.0723
"4013000",26,6920,360839,5262770,"4","beltrami",1,1,0,"bemidji",0,0,0,0,0,1,1,569,218,107,19,0,0,0,0,0,0,1,46106,9.584930179,0.995680346,5,10633.866091008,10633.866091008,10633.866091008
"77021500",27,6768,336640,5086100,"77","todd",1,1,1,"osakis",1,3,0.000443262411347518,0,0,1,1,534,140,45,8,0,0,0,0,0,0,1,24233,32.78257875,0.765195138,3,4903.370442168,4903.370442168,4903.370442168
"18037200",28,6178,404693,5143639,"18","crow wing",1,1,1,"north long",1,5,0.000809323405632891,0,0,1,0,789,330,164,44,0,0,0,0,0,0,1,63940,16.84519083,1.180442375,4,10085.699649864,5929.879235976,7455.9106
"21008300",29,5924,316216,5101018,"21","douglas",1,1,1,"miltona",1,4,0.000675219446320054,1,0,1,1,727,333,140,28,0,0,0,0,0,0,1,37456,359.7575296,1.281879195,3,8214.281879424,3734.676151176,6224.563
"34007900",30,5821,353579,5014338,"34","kandiyohi",1,1,1,"green",1,8,0.00137433430682013,0,0,1,1,357,138,76,32,0,0,0,0,0,0,1,42495,96.34438247,0.953206239,5,10180.242634656,10180.242634656,10180.242634656
"56023900",31,5672,295634,5130072,"56","otter tail",1,1,1,"west battle",1,4,0.000705218617771509,0,0,1,1,1038,479,222,39,0,0,0,0,0,0,1,58085,11.75881601,1.660516605,2,7093.72693656,5643.665631888,6718.135
"11020100",32,5360,403405,5201363,"11","cass",1,1,0,"woman",0,0,0,0,0,1,1,812,405,220,64,0,0,0,0,0,0,1,28993,147.4903717,1.516245487,2,6477.4007226,4015.866498432,2241.0745
"16034800",33,5204,671746,5312261,"16","cook",1,0,0,"brule",1,1,0.000192159877017679,0,0,1,0,1107,637,387,103,0,0,0,0,0,0,1,5286,25476.42118,NA,1,NA,4270.275100968,2136.5432
"69037500",34,4980,563179,5239827,"69","saint louis",1,1,0,"whiteface reservoir",0,0,0,0,0,1,0,260,141,49,8,0,0,0,0,0,0,1,199980,19217.71747,0.818181818,1,NA,1747.636363248,2767.7468
"56013000",35,4834,308373,5165121,"56","otter tail",1,0,0,"big pine",1,4,0.000827472072817542,0,0,1,1,781,211,78,13,0,0,0,0,0,0,1,58085,2472.874654,NA,3,NA,3959.290862376,3650.2915
"11041500",36,4820,381520,5245561,"11","cass",1,0,1,"pike bay",1,1,0.00020746887966805,0,0,1,1,645,148,67,14,0,0,0,0,0,0,1,28993,67.94046393,NA,1,NA,4379.52043008,6309.6772
"38052900",37,4819,617628,5316806,"38","lake",1,1,0,"snowbank",1,1,0.000207511931936086,0,0,0,0,1050,468,238,72,0,0,0,0,0,0,1,10625,23184.26295,0.242424242,1,517.818180912,2007.133295856,2308.9062
"56038500",38,4809,284370,5155616,"56","otter tail",1,0,0,"star",1,3,0.000623830318153462,0,0,1,1,1061,512,277,78,0,0,0,0,0,0,1,58085,19.8662644,NA,2,NA,4499.69798448,2863.5242
"11041300",39,4640,380380,5203114,"11","cass",1,1,0,"ten mile",1,1,0.00021551724137931,0,0,1,1,829,395,222,71,0,0,0,0,0,0,1,28993,72.09104045,0.701612903,1,1498.645160808,3162.555591432,2568.1233
"21012300",40,4506,313176,5096702,"21","douglas",1,1,1,"ida",1,3,0.00066577896138482,0,0,1,1,737,373,144,41,0,0,0,0,0,0,1,37456,6449.664132,0.810884354,3,5196.146938296,3669.652532592,3855.1968
"56078600",41,4314,269112,5176357,"56","otter tail",1,1,1,"pelican",1,3,0.000695410292072323,1,0,1,1,872,508,265,61,0,0,0,0,0,0,1,58085,1442.923999,2.152804642,2,9196.781430624,4603.838670888,4492.0728
"56076000",42,4145,268988,5168720,"56","otter tail",1,0,1,"lizzie",1,1,0.000241254523522316,1,0,1,1,909,542,287,52,0,0,0,0,0,0,1,58085,147.7217319,NA,2,NA,3852.014882544,5059.969
"3019500",43,3943,301316,5196467,"3","becker",1,1,0,"height of land",1,3,0.000760841998478316,0,0,1,1,879,259,102,36,0,0,0,0,0,0,1,33734,84.56071648,0.223168654,3,1430.064736968,2222.868996816,2888.7532
"31071900",44,3926,449462,5246963,"31","itasca",1,1,0,"deer",1,1,0.000254712175241977,0,0,1,0,822,401,193,55,0,0,0,0,0,0,1,45242,1512.354037,0.488603989,1,1043.658120504,1043.658120504,1043.658120504
"61007800",45,3818,311777,5068466,"61","pope",1,1,0,"reno",1,2,0.000523834468308015,0,0,1,1,624,267,143,25,0,0,0,0,0,0,1,11049,19.983241,0.925581395,2,3954.083721576,3561.617174856,3117.208
"31082600",46,3785,424230,5274137,"31","itasca",1,1,1,"sand",1,1,0.000264200792602378,0,0,1,0,659,223,112,22,0,0,0,0,0,0,1,45242,5398.052419,0.275423729,1,588.305085144,2433.29636184,3253.9644
"86025200",47,3704,412316,5017445,"86","wright",1,1,1,"clearwater",0,0,0,0,0,1,1,483,245,154,43,0,0,0,0,0,0,1,132550,9.410742697,1.109913793,2,4741.551723696,4117.834917696,9361.721
"26000200",48,3680,283522,5104535,"26","grant",1,0,0,"pelican",1,1,0.000271739130434783,0,0,1,1,935,494,236,68,0,0,0,0,0,0,1,5956,32.58783727,NA,1,NA,4752.692977944,2316.2715
"4004900",49,3565,377805,5262876,"4","beltrami",1,1,0,"big",1,1,0.000280504908835905,0,0,1,1,464,198,106,43,0,0,0,0,0,0,1,46106,11320.55776,1.83,1,3908.88,3034.200290544,2269.048
"73020000",50,3471,365848,5021565,"73","stearns",1,1,1,"koronis",0,0,0,0,1,1,1,426,144,49,13,0,0,0,0,0,0,1,155652,8.718430271,0.586068563,3,3755.527351704,3755.527351704,3755.527351704
"69000400",51,3429,588528,5301471,"69","saint louis",1,0,0,"white iron",1,2,0.000583260425780111,0,0,1,0,686,322,116,14,0,0,0,0,0,0,1,199980,156.8335628,NA,2,NA,3763.567095504,3335.046
"11014300",52,3404,412735,5217718,"11","cass",1,1,0,"boy",1,1,0.000293772032902468,0,0,1,0,718,229,94,21,0,0,0,0,0,0,1,28993,3698.34534,0.2,1,427.2,2052.73820736,2308.2292
"3057600",53,3380,266117,5183661,"3","becker",1,1,1,"big cormorant",1,2,0.000591715976331361,0,0,1,1,799,416,246,63,0,0,0,0,0,0,1,33734,8371.787085,1.014644351,2,4334.560669608,4334.560669608,4334.560669608
"69049100",54,3260,555262,5198681,"69","saint louis",1,1,1,"fish lake flowage",1,2,0.000613496932515337,0,0,1,0,225,73,34,18,0,0,0,0,0,0,1,199980,3846.630632,1.282608696,2,5479.304347176,3786.0982878,5042.9927
"31085700",55,3222,418110,5262722,"31","itasca",1,1,1,"cut foot sioux",1,1,0.000310366232153942,0,0,1,0,682,150,64,29,0,0,0,0,0,0,1,45242,0,0.608881298,5,6502.85226264,6502.85226264,6502.85226264
"10005900",56,3196,437932,4968688,"10","carver",1,1,1,"waconia",1,3,0.000938673341677096,0,0,1,1,401,149,61,28,0,0,0,0,0,0,1,100262,508.4391012,1.418454936,1,3029.819743296,3029.819743296,3029.819743296
"13006900",57,3170,495740,5059842,"13","chisago",1,1,1,"rush",0,0,0,0,0,1,1,207,65,42,13,0,0,0,0,0,0,1,54748,2092.612425,0.55104551,2,2354.066420856,2739.320885328,3136.8843
"56038600",58,3096,288002,5162288,"56","otter tail",1,0,0,"big mcdonald",0,0,0,0,0,1,1,1039,463,249,75,0,0,0,0,0,0,1,58085,12.79252934,NA,4,NA,3844.167120288,2474.401
"3038100",59,3089,284496,5185986,"3","becker",1,1,1,"detroit",1,4,0.00129491744901263,0,0,1,1,868,400,200,48,0,0,0,0,0,0,1,33734,24.13648784,1.092583616,4,9335.034415104,9335.034415104,9335.034415104
"21005700",60,3017,316822,5092997,"21","douglas",1,1,1,"carlos",1,5,0.00165727543917799,1,0,1,1,705,312,115,39,0,0,0,0,0,0,1,37456,1414.043821,1.455555556,4,12436.266666192,3243.522534024,5349.2676
"49007900",61,2990,380909,5118375,"49","morrison",1,1,1,"alexander",1,3,0.00100334448160535,0,0,1,0,350,155,98,49,0,0,0,0,0,0,1,32821,4241.485943,1.5,2,6408,3283.701952128,4630.9683
"31089600",62,2959,412845,5274577,"31","itasca",1,1,0,"round",1,2,0.000675904021628929,0,0,1,0,545,177,86,27,0,0,0,0,0,0,1,45242,5.019318904,0.1328125,2,567.375,3597.418324824,2359.207
"31091300",63,2920,406961,5297348,"31","itasca",1,1,0,"island",1,2,0.000684931506849315,0,0,1,0,316,106,47,25,0,0,0,0,0,0,1,45242,188.8762503,0.010416667,1,22.250000712,2089.504216296,1569.0331
"34008600",64,2877,347694,4984519,"34","kandiyohi",1,1,0,"big kandiyohi",1,4,0.00139033715676051,0,0,1,0,178,82,23,7,0,0,0,0,0,0,1,42495,4754.655573,1.598901099,2,6830.505494928,3518.615464224,2497.36
"41004300",65,2875,241423,4909966,"41","lincoln",1,1,0,"benton",1,6,0.00208695652173913,0,0,1,1,33,17,9,1,0,0,0,0,0,0,1,5783,15.8330769,0.923076923,6,11830.153845168,6236.979284592,3705.2444
"18030500",66,2844,411044,5151241,"18","crow wing",1,1,1,"edward",1,1,0.000351617440225035,0,0,1,0,861,387,197,60,0,0,0,0,0,0,1,63940,8034.13491,1.285714286,1,2746.285714896,2966.887909512,3740.6995
"31057600",67,2844,451314,5240139,"31","itasca",1,0,0,"bass",1,3,0.00105485232067511,0,0,1,0,822,353,161,31,0,0,0,0,0,0,1,45242,1559.274462,NA,3,NA,3143.164276416,1860.9413
"86003100",68,2793,439406,5008988,"86","wright",1,0,1,"pelican",1,1,0.000358037952022914,0,0,1,0,504,218,111,29,0,0,0,0,0,0,1,132550,2360.604667,NA,1,NA,3743.873275896,5889.6006
"4006900",69,2742,378731,5287785,"4","beltrami",1,1,0,"blackduck",1,2,0.000729394602479942,0,0,1,1,415,164,73,14,0,0,0,0,0,0,1,46106,1032.913227,0.730072464,1,1559.434783104,2725.318098096,2300.281
"69006900",70,2639,583854,5307140,"69","saint louis",1,1,1,"shagawa",1,6,0.00227358848048503,0,0,1,0,646,303,139,29,0,0,0,0,0,0,1,199980,198.8646956,0.845,5,9024.6,4748.636079552,7845.9927
"29015600",71,2620,354685,5250119,"29","hubbard",1,1,0,"plantagenet",1,2,0.000763358778625954,0,0,1,1,757,228,73,18,0,0,0,0,0,0,1,20718,3303.773695,1.006,2,4297.632,4297.632,4297.632
"31006700",72,2615,486437,5238939,"31","itasca",1,1,0,"swan",1,1,0.000382409177820268,0,0,1,1,689,229,106,35,0,0,0,0,0,0,1,45242,0,0.636038186,1,1358.577565296,3607.3861632,1980.6178
"29007500",73,2607,366758,5224546,"29","hubbard",1,1,0,"kabekona",1,1,0.000383582662063675,0,0,1,0,823,314,144,22,0,0,0,0,0,0,1,20718,119.1119638,0.446363636,1,953.432726496,953.432726496,953.432726496
"21009200",74,2559,307127,5078036,"21","douglas",1,1,1,"mary",1,2,0.000781555295037124,0,0,1,1,713,315,194,59,0,0,0,0,0,0,1,37456,34.47944394,0.659016393,2,2815.318033032,2824.48560192,4435.7095
"47004600",75,2524,391934,4991747,"47","meeker",1,1,1,"washington",1,3,0.00118858954041204,0,0,1,1,403,120,56,21,0,0,0,0,0,0,1,23110,430.6294363,0.642519685,2,2744.84409432,2844.004030296,3335.4119
"56023800",76,2522,294831,5125865,"56","otter tail",1,0,0,"clitherall",1,1,0.000396510705789056,0,0,1,1,1025,500,235,59,0,0,0,0,0,0,1,58085,40.43892197,NA,1,NA,3611.82068076,1674.0104
"34025100",77,2496,334655,5019816,"34","kandiyohi",1,1,1,"norway",1,3,0.00120192307692308,0,0,1,1,278,140,92,26,0,0,0,0,0,1,0,42495,194.4573985,0.733333333,2,3132.800000712,2628.872106048,5567.3306
"81009500",78,2462,444501,4891696,"81","waseca",1,0,0,"elysian",1,3,0.00121852152721365,0,0,1,1,86,54,34,15,0,0,0,0,0,1,0,18911,18.17810132,NA,2,NA,3753.025760352,2728.7844
"1003300",79,2451,479181,5172968,"1","aitkin",1,0,0,"minnewawa",1,4,0.00163198694410445,0,0,1,0,342,126,83,19,0,0,0,0,0,1,0,15583,1274.508616,NA,3,NA,2219.122811664,3083.8103
"18003400",80,2435,434686,5137372,"18","crow wing",1,1,1,"bay",1,1,0.000410677618069815,0,0,0,0,626,326,207,81,0,0,0,0,0,1,0,63940,12.20590942,1.256231306,1,2683.310069616,2683.310069616,2683.310069616
"82016700",81,2432,501697,4991046,"82","washington",1,1,1,"white bear",1,5,0.00205592105263158,0,0,1,0,466,264,176,60,0,0,0,0,0,1,0,253117,10.28378382,7.561403509,3,48453.47369208,4366.11886704,9205.601
"56013800",82,2360,303435,5130011,"56","otter tail",1,0,0,"east battle",1,1,0.000423728813559322,0,0,1,1,975,356,174,33,0,0,0,0,0,1,0,58085,1281.101427,NA,1,NA,2967.907843104,1460.7504
"38081100",83,2322,594266,5311379,"38","lake",1,1,1,"fall",1,3,0.00129198966408269,0,0,1,0,767,327,145,29,0,0,0,0,0,1,0,10625,1.81362037,0.855828221,2,3656.098160112,3439.826075376,3253.0398
"40009200",84,2290,438757,4901997,"40","le sueur",1,1,1,"jefferson",0,0,0,0,0,1,1,100,54,39,17,0,0,0,0,0,1,0,27591,4893.350197,0.09939759,3,636.939758856,2282.341595688,1573.8881
"19000600",85,2255,501826,4929446,"19","dakota",1,1,1,"byllesby",1,3,0.00133037694013304,0,0,1,1,164,19,3,2,0,0,0,0,0,1,0,417486,6.315506368,1.516129032,2,6476.90322684,4232.988367272,6054.57
"29024300",86,2239,344161,5207099,"29","hubbard",1,1,0,"potato",1,2,0.000893255917820456,0,0,1,1,761,358,180,51,0,0,0,0,0,1,0,20718,1300.205368,0.544952681,2,2328.037855368,2328.037855368,2328.037855368
"3024100",87,2227,296617,5199965,"3","becker",1,1,0,"tamarack",0,0,0,0,0,1,1,867,274,118,34,0,0,0,0,0,1,0,33734,6415.897965,0.439490446,3,2816.254777968,2321.755821696,1629.9764
"82015900",88,2206,502476,5014067,"82","washington",1,1,1,"forest",1,4,0.00181323662737987,0,0,1,1,417,231,143,31,0,0,0,0,0,1,0,253117,60.51962308,1.07742639,3,6904.148309256,6904.148309256,6904.148309256
"61018000",89,2164,293790,5043590,"61","pope",1,0,1,"emily",1,1,0.000462107208872458,0,0,1,1,417,155,69,7,0,0,0,0,0,1,0,11049,2286.088609,NA,1,NA,2067.930135696,2072.9624
"4012000",90,2148,370727,5281205,"4","beltrami",1,1,0,"gull",1,1,0.000465549348230912,0,0,1,1,435,198,110,33,0,0,0,0,0,1,0,46106,477.2913249,0.5,1,1068,2667.542000136,1567.5449
"31039200",91,2146,460462,5252610,"31","itasca",1,1,0,"wabana",1,2,0.000931966449207828,0,0,1,1,857,477,291,88,0,0,0,0,0,1,0,45242,2653.291529,0.455485612,2,1945.834532328,1945.834532328,1945.834532328
"77015000",92,2111,349958,5071750,"77","todd",1,1,1,"sauk",0,0,0,0,0,1,1,402,122,67,26,0,0,0,0,0,1,0,24233,0,0.221374046,2,945.709924512,3358.066089384,1792.503
"16007700",93,2078,710489,5320107,"16","cook",1,0,1,"greenwood",1,1,0.000481231953801732,0,0,1,0,515,275,152,67,0,0,0,0,0,1,0,5286,20623.10836,NA,1,NA,3739.533041376,2046.2488
"3032800",94,2074,291133,5223099,"3","becker",1,1,0,"white earth",1,1,0.000482160077145612,0,0,1,1,680,259,119,45,0,0,0,0,0,1,0,33734,3170.110522,0.75,1,1602,1965.340866672,1585.0012
"31072500",95,2066,448335,5275118,"31","itasca",1,1,0,"turtle",1,1,0.000484027105517909,0,0,1,0,765,461,274,81,0,0,0,0,0,1,0,45242,218.3922495,0.546341463,1,1166.985364968,2100.643535328,1200.1598
"69093900",96,2050,496088,5280513,"69","saint louis",1,0,0,"sturgeon",0,0,0,0,0,1,0,608,195,62,16,0,0,0,0,0,1,0,199980,8939.968788,NA,1,NA,2985.729381816,2710.9246
"56014200",97,2036,304368,5167616,"56","otter tail",1,0,0,"little pine",1,2,0.000982318271119843,0,0,1,1,814,268,98,19,0,0,0,0,0,1,0,58085,3479.075161,NA,2,NA,3076.890689856,1518.1088
"1015900",98,2025,440662,5140873,"1","aitkin",1,1,0,"farm island",1,2,0.000987654320987654,0,0,1,0,612,307,194,80,0,0,0,0,0,1,0,15583,361.3231804,30.07407407,2,NA,2011.518243264,2102.0525
"77008400",99,2025,363760,5071147,"77","todd",1,1,1,"big birch",1,4,0.00197530864197531,0,0,1,1,335,127,88,34,0,0,0,0,0,1,0,24233,1976.95676,0.731060606,4,6246.181817664,6246.181817664,6246.181817664
"31021600",100,1953,469360,5234152,"31","itasca",1,1,1,"trout",1,2,0.00102406554019457,0,0,1,1,729,331,125,28,0,0,0,0,0,1,0,45242,153.6890155,0.280092593,2,1196.55555516,1196.55555516,1196.55555516
"3028600",101,1916,294415,5195638,"3","becker",1,1,0,"cotton",1,1,0.000521920668058455,0,0,1,1,889,297,131,36,0,0,0,0,0,1,0,33734,3602.405695,1.012320329,1,2162.316222744,2037.729799872,1636.8546
"21005600",102,1892,317573,5088722,"21","douglas",1,1,1,"le homme dieu",1,3,0.00158562367864693,1,0,1,1,693,281,125,41,0,0,0,0,0,1,0,37456,22.86197624,1.262184874,2,5392.053781728,3389.8444956,3059.456
"31033400",103,1891,471615,5298330,"31","itasca",1,1,0,"deer",1,1,0.000528820729772607,0,0,1,0,585,215,103,54,0,0,0,0,0,1,0,45242,1367.990965,4.3125,1,9211.5,1956.354812928,1711.0302
"18031200",104,1884,413925,5168942,"18","crow wing",1,1,1,"cross lake reservoir",1,2,0.00106157112526539,0,0,1,1,944,416,206,74,0,0,0,0,0,1,0,63940,12021.97849,1.416511484,2,6051.337057512,6051.337057512,6051.337057512
"29016100",105,1863,347669,5194473,"29","hubbard",1,1,1,"long",1,5,0.00268384326355341,0,0,1,0,722,255,118,21,0,0,0,0,0,1,0,20718,28.47331923,0.65225335,4,5572.852618128,5572.852618128,5572.852618128
"13004100",106,1830,507653,5020789,"13","chisago",1,1,1,"green",1,3,0.00163934426229508,0,0,1,1,368,184,111,41,0,0,0,0,0,1,0,54748,21.35004694,0.35443038,2,1514.126581224,2959.156875384,2549.5479
"3047500",107,1827,278516,5180711,"3","becker",1,1,1,"melissa",1,1,0.000547345374931582,0,0,1,1,880,486,234,73,0,0,0,0,0,1,0,33734,204.2850822,0.495819398,1,1059.070234128,1059.070234128,1059.070234128
"31041000",108,1792,458192,5256659,"31","itasca",1,0,0,"trout",0,0,0,0,0,1,0,864,503,323,123,0,0,0,0,0,1,0,45242,2266.498604,NA,1,NA,2152.026070512,939.13544
"31078600",109,1782,438455,5270666,"31","itasca",1,1,0,"jessie",1,1,0.000561167227833895,0,0,1,0,749,416,189,23,0,0,0,0,0,1,0,45242,665.6493732,0.322695035,1,689.27659476,1741.950566208,937.87573
"2004200",110,1779,489705,5018638,"2","anoka",1,1,1,"coon",1,4,0.00224845418774592,0,0,1,1,469,216,57,17,0,0,0,0,0,1,0,345957,2914.167519,1.814859927,2,7753.081608144,4459.868338512,5031.7705
"1020900",111,1778,439680,5150444,"1","aitkin",1,1,0,"cedar",1,1,0.000562429696287964,0,0,1,1,685,350,205,77,0,0,0,0,0,1,0,15583,73.55256162,10.4,1,NA,2410.185384384,1843.5604
"29015100",112,1770,355695,5214272,"29","hubbard",1,1,0,"mantrap",1,3,0.00169491525423729,0,0,1,1,808,371,206,54,0,0,0,0,0,1,0,20718,10284.18061,0.714876033,2,3053.950412976,3053.950412976,3053.950412976
"11005900",113,1768,424050,5191211,"11","cass",1,1,1,"washburn",1,1,0.000565610859728507,0,0,1,1,848,371,159,51,0,0,0,0,0,1,0,28993,1654.691187,0.552572707,1,1180.295302152,1715.22262092,1479.3462
"18008800",114,1768,428761,5112705,"18","crow wing",1,1,0,"platte",1,1,0.000565610859728507,0,0,1,0,459,128,60,25,0,0,0,0,0,1,0,63940,8421.399227,0.8675,1,1852.98,2582.686809168,1029.4363
"11050400",115,1761,375102,5236445,"11","cass",1,1,1,"steamboat",1,1,0.00056785917092561,0,0,1,1,749,218,62,14,0,0,0,0,0,1,0,28993,32.91861545,0.169741697,1,362.568264792,1761.456973176,1823.6495
"21014500",116,1761,303392,5096690,"21","douglas",1,1,1,"chippewa",1,1,0.00056785917092561,0,0,1,0,834,438,221,44,0,0,0,0,0,1,0,37456,4399.551383,0.521428571,1,1113.771427656,2340.322292544,1303.4862
"29018500",117,1738,350366,5207036,"29","hubbard",1,1,0,"big sand",1,1,0.000575373993095512,0,0,1,0,793,365,184,66,0,0,0,0,0,1,0,20718,3176.387363,0.63670412,1,1360.00000032,1360.00000032,1360.00000032
"34019200",118,1715,340256,5007361,"34","kandiyohi",1,1,0,"long",1,4,0.00233236151603499,0,0,1,1,247,124,88,40,0,0,0,0,0,1,0,42495,810.5170083,0.84375,2,3604.5,2529.048914304,2421.0496
"18037300",119,1706,401610,5145710,"18","crow wing",1,1,1,"round",1,1,0.000586166471277843,1,0,1,1,801,303,149,46,0,0,0,0,0,1,0,63940,7.032407883,0.944444444,1,2017.333332384,2839.018608432,2807.3982
"34004400",120,1697,355195,5004937,"34","kandiyohi",1,1,0,"diamond",1,3,0.00176782557454331,0,0,1,1,310,125,80,28,0,0,0,0,0,1,0,42495,3387.405626,0.728571429,2,3112.457142552,2549.766531528,1833.0267
